Product_Name,Model_Name,Product_Serial_No,Group_Associated,product_MRP
Demo Product 1,Product Model 1,9.8766E+13,Group 1,1001
Demo Product 1,Product Model 1,9.8766E+13,Group 2,1002
Demo Product 1,Product Model 1,9.8766E+13,Group 3,1003
Demo Product 1,Product Model 1,9.8766E+13,Group 4,1004
Demo Product 1,Product Model 1,9.8766E+13,Group 5,1005
Demo Product 1,Product Model 1,9.8766E+13,Group 6,1006
Demo Product 1,Product Model 1,9.8766E+13,Group 7,1007
Demo Product 1,Product Model 1,9.8766E+13,Group 8,1008
Demo Product 1,Product Model 1,9.8766E+13,Group 9,1009
Demo Product 1,Product Model 1,9.8766E+13,Group 10,1010
Demo Product 1,Product Model 1,9.8766E+13,Group 11,1011
Demo Product 1,Product Model 1,9.8766E+13,Group 12,1012
Demo Product 1,Product Model 1,9.8766E+13,Group 13,1013
Demo Product 1,Product Model 1,9.8766E+13,Group 14,1014
Demo Product 1,Product Model 1,9.8766E+13,Group 15,1015
Demo Product 1,Product Model 1,9.8766E+13,Group 16,1016
Demo Product 1,Product Model 1,9.8766E+13,Group 17,1017
Demo Product 1,Product Model 1,9.8766E+13,Group 18,1018
Demo Product 1,Product Model 1,9.8766E+13,Group 19,1019
Demo Product 1,Product Model 1,9.8766E+13,Group 20,1020
Demo Product 1,Product Model 1,9.8766E+13,Group 21,1021
Demo Product 1,Product Model 1,9.8766E+13,Group 22,1022
Demo Product 2,Product Model 2,9.8766E+13,Group 1,10001
Demo Product 2,Product Model 2,9.8766E+13,Group 2,10002
Demo Product 2,Product Model 2,9.8766E+13,Group 3,10003
Demo Product 2,Product Model 2,9.8766E+13,Group 4,10004
Demo Product 2,Product Model 2,9.8766E+13,Group 5,10005
Demo Product 2,Product Model 2,9.8766E+13,Group 6,10006
Demo Product 2,Product Model 2,9.8766E+13,Group 7,10007
Demo Product 2,Product Model 2,9.8766E+13,Group 8,10008
Demo Product 2,Product Model 2,9.8766E+13,Group 9,10009
